"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2024","Erceg, Lucas","668674","118","275","1045","13","12","10","-5","-5"
"2024","Ragans, Cole","666142","118","802","3285","20","20","31","-18","-13"
"2024","Zerpa, Angel","672582","118","253","1030","-1","3","9","-9","-4"
"2024","Singer, Brady","663903","118","761","2972","8","16","20","-14","-13"
"2024","Marsh, Alec","679525","118","547","2161","-9","10","4","-14","-9"
"2024","Lorenzen, Michael","547179","118","547","2133","9","19","17","-17","-10"
"2024","Wacha, Michael","608379","118","722","2736","7","11","20","-14","-9"
"2024","Lugo, Seth","607625","118","877","3281","29","16","43","-17","-13"
"2024","Stratton, Chris","608717","118","256","994","-7","1","7","-11","-4"
"2024","Schreiber, John","670167","118","237","969","7","7","12","-7","-5"
"2024","Yamamoto, Yoshinobu","808967","119","442","1751","14","3","24","-7","-5"
"2024","Stone, Gavin","694813","119","580","2152","13","10","19","-9","-7"
"2024","Flaherty, Jack","656427","119","728","2957","6","-2","29","-12","-9"
"2024","Buehler, Walker","621111","119","406","1595","-17","-1","4","-11","-9"
"2024","Treinen, Blake","595014","119","237","962","20","10","16","-5","-1"
"2024","Phillips, Evan","623465","119","253","1018","0","10","-3","-5","-2"
"2024","Hudson, Daniel","543339","119","280","1093","0","0","12","-7","-5"
"2024","Knack, Landon","689017","119","318","1280","1","5","12","-9","-7"
"2024","Miller, Bobby","676272","119","258","1053","-25","-10","5","-13","-7"
"2024","Vesia, Alex","681911","119","282","1202","20","16","14","-5","-6"
"2024","Glasnow, Tyler","607192","119","522","2011","18","9","22","-8","-5"
"2024","Kopech, Michael","656629","119","315","1316","7","18","8","-12","-6"
"2024","Scott, Tanner","656945","135","306","1225","23","17","15","-5","-4"
"2024","Darvish, Yu","506433","135","378","1419","16","15","11","-5","-6"
"2024","Waldron, Matt","663362","135","625","2450","-9","6","11","-17","-9"
"2024","Suarez, Robert","663158","135","268","1016","9","1","17","-7","-2"
"2024","King, Michael","650633","135","771","3061","14","11","28","-18","-8"
"2024","Estrada, Jeremiah","669093","135","270","1085","8","8","7","-3","-5"
"2024","Cease, Dylan","656302","135","790","3308","9","12","28","-18","-13"
"2024","Pérez, Martín","527048","135","590","2204","-12","5","8","-19","-6"
"2024","Musgrove, Joe","605397","135","422","1626","5","7","15","-9","-8"
"2024","Adam, Jason","592094","135","298","1192","20","9","20","-2","-6"
"2024","Vásquez, Randy","681190","135","430","1687","-13","-8","11","-9","-6"
"2024","Matsui, Yuki","673513","135","257","1060","8","7","9","-3","-5"
"2024","Morejon, Adrian","670970","135","279","1097","7","4","10","-4","-2"
"2024","Birdsong, Hayden","806185","137","315","1388","2","5","15","-9","-9"
"2024","Harrison, Kyle","690986","137","532","2078","0","8","14","-12","-10"
"2024","Snell, Blake","605483","137","418","1773","16","10","23","-13","-4"
"2024","Hicks, Jordan","663855","137","480","1958","-3","0","17","-8","-12"
"2024","Webb, Logan","657277","137","838","3200","15","7","33","-16","-8"
"2024","Miller, Erik","669062","137","284","1269","4","9","12","-13","-4"
"2024","Walker, Ryan","676254","137","307","1220","26","13","18","-2","-4"
"2024","Rogers, Tyler","643511","137","288","1002","7","6","11","-8","-2"
